,LabChemTestSID,LabChemTestName,Units,LOINCSID,LOINC,Component,TopSID,Topography,p1,p5,p10,p25,p50,p75,p90,p95,p99,n,min,max
1,95,ht,feet,505,6793-4,digital stadiometer,4,full-body,5.155470899,5.30185705,5.405648576,5.616663573,5.838491564,6.066845143,6.240323475,6.376786916,6.587758158,362,4.942515379,6.787897167
2,556,ht,feet,46,6793-4,self-reported,5,height,5.126656146,5.287155122,5.434475563,5.632999377,5.828590677,6.091532668,6.252458753,6.377245659,6.538629833,269,5.08227242,6.642314155
3,508,stature,ft,92,6793-4,stadiometer,1,adult height,5.08031925,5.223763789,5.367682825,5.544793313,5.797323799,6.096687166,6.260224106,6.30016032,6.427656772,79,5.044739453,6.451478549
4,29,height,feet,571,6793-4,height rod,1,adult height,5.159776884,5.353672788,5.395714872,5.594918483,5.854323831,6.034766122,6.205039665,6.309717644,6.470393685,56,5.096294336,6.545537741
5,495,stature,ft,105,1754-1,stadiometer,5,height,5.066293115,5.2858449,5.404757432,5.594359307,5.82962112,6.046485352,6.24538351,6.388667273,6.582636599,1001,4.881065398,6.676167255
6,380,height,ft,,1754-1,stadiometer,4,full-body,5.076449906,5.309674703,5.417824443,5.618839881,5.833793205,6.060429377,6.25429341,6.372276179,6.595703033,5532,4.559158227,7.172459862
7,583,height,ft,,1754-1,digital stadiometer,4,full-body,5.396827359,5.470111692,5.513087981,5.591222992,5.889921883,6.0813413,6.219641944,6.474492704,6.712896181,26,5.377080825,6.773256629
8,566,adlt height,ft,,1754-1,digital stadiometer,4,full-body,5.066754989,5.286517738,5.405587362,5.596679182,5.831733956,6.048923057,6.251263796,6.382739992,6.619906871,4816,4.821243186,7.087467433
9,552,ht,feet,,1754-1,stadiometer,1,adult height,5.392143523,5.43663964,5.505354074,5.752040043,5.882931496,6.082291156,6.221927382,6.271278405,6.405592612,17,5.381019493,6.439171164
10,247,adlt height,feet,,1754-1,self-reported,2,body,5.349826062,5.458688873,5.562070585,5.720214999,5.852406635,6.108125971,6.153219257,6.19411233,6.230889931,13,5.322610359,6.240084331
